-101	-165	-679
-102	-164	-679
-102	-167	-677
-101	-164	-677
-102	-163	-679
-101	-164	-678
-100	-165	-678
-102	-163	-679
-102	-164	-679
-101	-165	-676
-102	-163	-679
-102	-166	-678
-101	-165	-677
-101	-163	-679
-103	-164	-679
-101	-164	-678
-100	-165	-677
-94	-182	-679
-95	-177	-679
-92	-183	-679
-92	-184	-680
-92	-184	-679
-99	-179	-676
-108	-190	-674
-127	-210	-667
-144	-229	-659
-154	-268	-649
-118	-386	-626
-118	-472	-585
-129	-545	-533
-120	-621	-465
-91	-687	-382
-49	-717	-331
-29	-742	-268
-48	-750	-212
-7	-757	-104
25	-742	-9
51	-704	91
60	-653	174
88	-548	290
125	-404	382
179	-175	440
172	47	438
107	244	386
56	329	340
44	340	331
101	218	400
156	1	447
167	-218	432
95	-435	366
43	-545	297
-13	-593	249
-59	-606	227
-133	-606	207
-209	-586	191
-235	-573	191
-257	-564	188
-272	-563	176
-292	-562	159
-344	-543	133
-331	-554	132
-295	-577	136
-268	-580	156
-242	-400	348
-169	-204	433
-126	15	455
-97	168	422
-69	217	407
-49	240	398
-41	267	385
-47	308	359
-34	346	331
-50	374	305
-106	376	291
-143	368	287
-266	331	261
-318	304	245
-324	258	278
-346	260	257
-382	297	178
-365	311	177
-342	332	177
-321	385	126
-333	382	111
-364	378	58
-376	385	5
-365	400	-68
-357	401	-129
-335	403	-201
-293	413	-254
-249	423	-287
-192	431	-333
-188	421	-342
-191	417	-348
-171	432	-340
-139	466	-300
-114	487	-273
-116	479	-281
-106	479	-293
-71	486	-295
-40	478	-318
-33	499	-273
-42	515	-233
-36	524	-212
-3	525	-213
7	521	-226
1	518	-233
0	524	-215
-7	534	-191
19	537	-168
75	544	-125
113	543	-76
174	528	-90
172	531	-62
137	537	-34
111	530	52
135	490	141
155	445	215
119	411	269
106	385	296
35	401	288
-10	405	282
-14	415	270
1	397	292
-9	396	290
-56	413	266
-81	435	233
-82	436	236
-58	418	259
-38	406	279
-2	368	321
46	327	352
52	279	381
37	249	402
13	202	424
-5	112	453
-5	52	465
6	39	465
-5	-10	472
-32	-133	470
-6	-198	462
5	-210	458
4	-233	453
4	-261	448
2	-267	445
11	-232	453
-11	-134	470
-9	-123	472
-3	-129	473
-1	-127	475
-2	-99	476
-1	-45	477
1	26	472
12	87	464
17	144	447
30	193	429
46	279	387
51	295	375
41	300	375
11	253	403
-31	165	436
-60	73	455
-80	-20	464
-91	-122	461
-103	-204	447
-123	-374	387
-124	-452	343
-121	-509	302
-117	-553	267
-116	-587	232
-108	-606	212
-104	-620	194
-100	-624	193
-99	-608	215
-101	-453	350
-100	-350	405
-98	-295	424
-82	-237	443
-69	-160	459
-43	-43	467
-4	76	453
10	177	427
11	247	396
-5	351	326
-17	425	253
-24	469	189
-11	503	125
10	526	63
12	542	-26
-3	540	-108
-16	532	-170
7	523	-222
57	503	-272
78	495	-289
105	489	-300
132	479	-315
167	459	-335
163	467	-323
159	489	-279
116	522	-213
39	542	-125
-14	543	-68
-152	492	75
-230	454	95
-330	395	81
-389	340	78
-440	266	95
-489	182	97
-529	94	80
-544	-7	84
-554	-113	61
-498	-336	75
-464	-387	93
-434	-430	99
-440	-431	92
-438	-427	98
-470	-370	109
-508	-272	125
-494	-258	154
-486	-290	146
-478	-384	74
-452	-463	-8
-398	-542	-62
-302	-629	-75
-147	-707	-71
9	-740	-80
70	-743	-75
117	-742	-85
149	-736	-76
277	-679	11
326	-637	56
368	-581	108
396	-532	144
431	-452	194
443	-396	222
452	-342	245
461	-306	257
469	-313	248
469	-415	182
441	-494	142
385	-564	114
365	-603	73
387	-596	61
329	-660	-7
220	-726	-136
129	-743	-165
57	-746	-210
3	-735	-260
-8	-652	-444
-49	-588	-511
-86	-531	-547
-113	-502	-556
-141	-487	-558
-170	-473	-552
-196	-448	-552
-222	-418	-552
-248	-383	-555
-321	-306	-532
-335	-287	-528
-364	-255	-512
-388	-230	-493
-414	-213	-471
-449	-190	-435
-481	-172	-397
-497	-155	-372
-515	-131	-344
-538	-127	-298
-554	-134	-254
-562	-153	-225
-564	-149	-218
-560	-145	-234
-563	-148	-224
-575	-153	-166
-575	-208	-74
-551	-237	47
-455	-204	249
-342	-196	352
-210	-194	422
-120	-171	451
-79	-172	458
-81	-153	460
-161	-124	447
-89	21	459
-24	-43	472
-31	-48	470
-14	-56	472
70	-58	467
256	-112	423
421	-188	327
404	-212	333
407	-233	323
405	-253	322
395	-300	312
365	-399	279
355	-418	274
350	-438	260
341	-464	244
355	-485	220
366	-489	207
397	-494	173
418	-510	134
443	-525	84
461	-539	31
492	-540	-61
484	-563	-137
463	-577	-216
438	-578	-289
403	-560	-384
350	-535	-467
290	-508	-525
248	-461	-573
147	-448	-608
48	-402	-631
-8	-370	-640
-31	-351	-646
-24	-355	-643
4	-388	-635
115	-452	-609
189	-489	-574
212	-488	-564
262	-531	-516
364	-562	-421
407	-569	-361
441	-573	-296
475	-569	-192
479	-557	-66
446	-520	90
396	-481	193
358	-480	226
376	-464	222
512	-450	71
550	-438	-9
563	-401	23
536	-361	122
482	-349	203
442	-367	232
423	-363	251
398	-345	284
389	-314	303
383	-297	317
366	-312	321
326	-324	338
253	-347	365
153	-371	386
50	-402	385
-45	-415	376
-84	-438	359
-114	-445	350
-137	-455	335
-173	-499	294
-202	-454	316
-194	-470	307
-192	-548	241
-152	-645	140
-52	-721	22
33	-753	-199
54	-733	-305
76	-695	-391
77	-678	-420
69	-670	-435
73	-639	-474
87	-611	-501
90	-608	-506
78	-629	-484
80	-645	-461
86	-644	-463
99	-648	-460
163	-635	-462
207	-610	-478
111	-629	-484
118	-625	-486
158	-640	-460
161	-639	-463
169	-626	-476
192	-615	-482
205	-612	-482
194	-584	-513
190	-582	-514
192	-598	-506
183	-600	-502
165	-566	-534
159	-580	-521
181	-661	-421
178	-691	-361
162	-709	-323
115	-736	-262
111	-743	-210
127	-742	-194
106	-750	-154
81	-746	-92
112	-737	-49
141	-729	-27
154	-728	-24
166	-731	-53
185	-728	-60
168	-707	34
249	-693	6
272	-677	29
290	-679	5
346	-666	-46
332	-682	-89
316	-696	-157
301	-701	-188
280	-708	-207
227	-684	-362
196	-678	-393
186	-632	-463
216	-583	-507
231	-589	-496
234	-619	-455
266	-663	-370
295	-678	-306
305	-682	-289
245	-713	-245
206	-730	-207
138	-743	-194
63	-751	-182
38	-753	-147
30	-755	-141
30	-753	-136
12	-751	-132
-39	-748	-103
-82	-733	-62
-86	-736	-72
-89	-734	-67
-103	-726	-41
-113	-716	-12
-105	-722	-16
-80	-726	-8
-39	-723	19
-13	-719	43
8	-724	35
11	-723	35
15	-723	46
11	-725	31
-18	-740	-31
-74	-740	-79
-118	-732	-168
-112	-733	-152
-35	-742	-194
28	-746	-218
109	-740	-220
75	-740	-241
-3	-736	-266
-116	-716	-259
-193	-697	-221
-193	-697	-229
-149	-699	-286
-29	-733	-271
86	-737	-270
167	-737	-229
183	-718	-280
186	-714	-295
181	-713	-308
174	-709	-315
174	-705	-328
180	-696	-345
202	-690	-344
226	-694	-306
259	-704	-229
275	-701	-186
285	-697	-154
302	-691	-137
315	-686	-129
311	-686	-135
311	-685	-140
303	-692	-155
294	-695	-157
264	-709	-133
261	-710	-126
250	-713	-119
244	-714	-123
243	-717	-120
239	-716	-108
235	-715	-104
236	-718	-108
236	-718	-104
231	-714	-89
232	-715	-78
225	-714	-67
225	-716	-77
223	-715	-69
221	-718	-75
225	-717	-74
224	-714	-66
223	-717	-65
218	-720	-64
216	-720	-87
209	-727	-107
213	-727	-108
211	-725	-110
210	-728	-115
211	-729	-119
212	-728	-118
212	-726	-122
210	-728	-121
207	-725	-85
202	-720	-61
194	-722	-41
194	-718	-31
193	-716	-27
185	-722	-28
174	-727	-36
174	-729	-62
179	-728	-68
188	-727	-63
181	-718	-27
175	-719	-17
174	-725	-28
181	-725	-44
188	-722	-54
189	-721	-42
187	-722	-35
189	-719	-39
195	-713	-17
199	-707	-8
189	-711	-10
178	-718	-29
174	-727	-51
169	-722	-37
174	-715	-9
176	-716	-9
181	-711	2
196	-699	34
199	-692	45
203	-683	66
206	-664	100
206	-639	147
187	-611	193
176	-586	223
171	-562	248
145	-536	281
128	-510	304
91	-480	333
92	-480	333
96	-471	335
109	-468	335
107	-472	334
119	-473	331
151	-447	340
180	-439	340
168	-473	323
175	-487	309
170	-500	302
162	-507	297
156	-506	298
134	-504	306
100	-501	317
73	-492	323
60	-489	327
75	-491	326
177	-488	305
215	-507	280
216	-519	271
217	-521	266
233	-534	248
258	-556	215
271	-590	169
262	-629	114
261	-661	58
253	-666	58
244	-679	31
237	-685	21
234	-677	54
219	-665	82
170	-648	140
145	-609	207
105	-599	230
43	-586	247
12	-552	284
5	-550	283
-34	-540	286
-84	-513	303
-119	-488	316
-155	-471	320
-168	-469	316
-188	-459	319
-196	-442	325
-193	-416	341
-152	-328	401
-132	-285	420
-126	-253	433
-127	-222	440
-112	-166	453
-128	-104	459
-122	-21	461
-114	41	458
-76	107	453
-59	191	432
-38	220	423
-20	225	420
-4	252	410
17	311	377
36	372	330
55	425	278
67	450	248
77	469	221
77	502	163
81	510	149
81	512	144
76	496	174
57	457	239
19	390	313
-3	329	358
-3	310	372
3	328	361
19	332	359
23	328	361
25	330	361
26	330	359
28	335	353
38	343	349
45	357	337
50	362	332
53	357	334
54	346	346
64	351	339
66	353	340
53	336	355
40	327	360
40	330	358
43	331	362
48	319	369
43	323	364
36	317	370
24	305	376
18	295	382
15	291	384
8	275	394
8	275	393
16	283	388
21	290	386
10	290	385
15	278	390
3	262	401
0	244	408
-1	231	415
9	241	414
15	249	409
18	256	403
17	258	406
11	256	407
6	244	411
-28	178	438
-27	104	462
-26	-29	481
-13	-81	481
12	-107	481
-12	-142	477
-47	-161	473
-80	-199	466
-154	-226	447
-170	-313	415
-161	-350	409
-136	-362	409
-106	-374	403
-30	-386	408
61	-412	393
160	-443	355
227	-459	324
276	-471	294
343	-528	200
355	-554	162
363	-591	106
364	-628	30
361	-647	-22
349	-671	-110
347	-675	-183
345	-674	-190
342	-671	-214
335	-669	-259
316	-658	-321
304	-654	-348
282	-645	-391
239	-615	-457
195	-592	-499
178	-578	-520
159	-547	-552
132	-517	-577
108	-491	-595
70	-413	-638
49	-391	-644
25	-376	-651
-22	-338	-656
-49	-328	-653
-75	-311	-652
-87	-311	-652
-95	-314	-648
-115	-309	-642
-137	-324	-634
-122	-313	-641
-129	-263	-649
-133	-242	-654
-120	-239	-658
-105	-246	-659
-87	-269	-660
-55	-303	-661
-18	-345	-655
37	-427	-631
71	-472	-609
111	-555	-549
135	-618	-486
159	-656	-435
192	-669	-399
238	-681	-341
290	-692	-248
322	-689	-151
281	-684	6
221	-685	73
188	-675	113
152	-643	176
88	-589	260
29	-514	333
-36	-398	400
-117	-255	443
-157	-188	451
-155	-177	456
-155	-168	452
-219	-122	440
-246	-99	434
-238	-105	434
-237	-106	437
-233	-74	442
-229	-43	439
-221	-26	442
-208	4	448
-177	85	445
-171	125	438
-162	176	420
-158	208	408
-150	237	397
-136	264	387
-101	307	372
-70	337	355
-38	350	349
-24	320	377
-37	264	403
-34	245	418
-10	225	428
10	206	434
45	178	445
72	133	457
80	70	476
84	32	479
-3	46	485
-32	34	482
-61	17	482
-85	-22	483
-52	-87	485
-22	-140	486
-24	-174	482
-30	-233	475
-24	-275	467
2	-337	450
53	-345	443
75	-361	435
108	-389	418
141	-426	389
170	-464	358
200	-504	315
233	-539	269
263	-562	232
280	-555	227
321	-587	159
334	-645	53
335	-677	-55
331	-687	-147
316	-690	-220
299	-679	-292
296	-686	-275
294	-686	-282
291	-685	-290
288	-679	-307
284	-676	-322
279	-675	-331
274	-682	-316
268	-685	-322
262	-678	-344
250	-665	-374
246	-655	-395
237	-648	-413
208	-630	-452
185	-621	-472
172	-609	-491
157	-584	-517
98	-537	-565
50	-508	-586
56	-501	-592
54	-486	-601
42	-464	-610
20	-435	-625
8	-414	-631
1	-403	-635
-34	-370	-645
-92	-306	-649
-89	-297	-653
-57	-351	-649
-52	-316	-659
-49	-302	-662
-46	-284	-669
-38	-325	-660
-62	-301	-662
-54	-311	-662
-49	-298	-667
-45	-298	-666
-50	-311	-664
-52	-322	-662
-42	-335	-660
-21	-342	-663
-41	-323	-668
-44	-333	-664
-42	-334	-664
-40	-306	-672
-55	-275	-677
-79	-222	-679
-87	-202	-679
-90	-202	-680
-87	-204	-679
-91	-198	-680
-90	-198	-680
-90	-199	-678
-89	-199	-679
-91	-198	-681
-91	-198	-680
-89	-201	-679
-91	-199	-680
-94	-200	-682
-91	-200	-680
-92	-198	-682
-93	-199	-680
-92	-199	-679
-91	-201	-681
-92	-198	-681
-92	-200	-679
-91	-199	-679
-92	-200	-681
-92	-198	-682
-92	-200	-681
-93	-201	-681
-92	-200	-681
-91	-200	-679
-91	-199	-680
-92	-201	-680
-91	-198	-679
-92	-200	-680
-92	-199	-682
-91	-199	-679
-92	-199	-681
-93	-199	-681
-92	-199	-680
-90	-199	-679
-92	-199	-682
-92	-198	-679
-92	-200	-678
-91	-200	-681
-92	-200	-680
-91	-200	-679
-91	-199	-682
-93	-199	-682
-91	-200	-679
-91	-201	-679
-92	-198	-682
-93	-200	-681
-91	-200	-679
-92	-199	-682
-92	-198	-680
-91	-201	-679
-92	-199	-680
-93	-198	-681
-91	-200	-679
-92	-200	-680
-91	-199	-682
-89	-200	-679
-90	-200	-681
-93	-199	-682
-90	-200	-679
-91	-200	-681
-91	-200	-681
-92	-199	-682
-90	-199	-679
-90	-200	-681
-91	-200	-680
-90	-199	-679
-92	-200	-681
-92	-199	-680
-91	-201	-678
-91	-199	-679
-92	-200	-681
-90	-199	-681
-90	-200	-679
-92	-201	-681
-90	-199	-679
-90	-200	-680
-91	-200	-681
-92	-199	-681
-91	-200	-679
-90	-200	-680
-92	-199	-681
-90	-200	-680
-90	-197	-680
-91	-199	-681
-91	-200	-678
-91	-199	-679
-91	-198	-681
-91	-200	-681
-91	-199	-679
-92	-199	-681
-92	-199	-681
-92	-202	-679
-92	-198	-681
-92	-200	-680
-91	-201	-679
-90	-200	-681
-92	-199	-682
-90	-201	-679
-91	-201	-678
-91	-200	-681
-92	-200	-680
-90	-200	-680
-92	-198	-681
-91	-199	-679
-91	-199	-679
-90	-201	-681
-93	-199	-681
-91	-201	-679
-90	-201	-679
-92	-200	-681
-90	-200	-680
-91	-201	-680
-93	-199	-682
-92	-200	-680
-90	-199	-680
-91	-201	-680
-91	-199	-681
-92	-200	-678
-90	-200	-681
-92	-200	-680
-91	-199	-679
-92	-200	-680
-92	-200	-682
-91	-200	-678
-90	-200	-679
-94	-200	-680
-91	-201	-680
-91	-200	-680
-93	-199	-682
-91	-201	-680
-91	-199	-680
-91	-199	-682
-92	-200	-681
-90	-200	-679
-91	-200	-680
-92	-199	-681
-91	-200	-680
-91	-200	-680
-92	-199	-681
-91	-202	-680
-92	-200	-680
-92	-200	-681
-93	-199	-681
-91	-201	-679
-91	-201	-681
-93	-200	-681
-92	-201	-679
-92	-201	-682
-93	-200	-681
-92	-202	-679
-94	-202	-681
-92	-200	-681
-93	-200	-679
-91	-200	-679
-92	-201	-680
-91	-199	-679
-91	-200	-680
-93	-200	-681
-91	-200	-680
-91	-200	-680
-92	-200	-681
-92	-199	-681
-92	-199	-679
-91	-201	-680
-92	-200	-682
-92	-201	-680
-91	-201	-681
-94	-200	-681
-90	-200	-679
-91	-201	-680
-92	-200	-681
-93	-200	-681
-92	-201	-680
-92	-201	-682
-93	-200	-681
-92	-201	-679
-92	-200	-680
-92	-200	-681
-91	-200	-681
-91	-201	-680
-92	-199	-681
-92	-200	-680
-91	-201	-680
